ID,Fwy,Direction,District,CA PM,Abs PM,Lanes,Type,Length,Lat,Lng,Road Width,Lane Width,Inner Shoulder Width,Inner Shoulder Treated Width,Outer Shoulder Width,Outer Shoulder Treated Width,Design Speed Limit,Inner Median Width,Terrain,Population,Barrier,Surface
319630,50,EB,3,R5.48,11.114,1,HOV,2.65,38.55894,-121.376691,48 ft,12.0 ft,8 ft,8 ft,10 ft,10 ft,70 mph,36 ft,Flat,Urbanized,Metal Beam Barrier,Concrete
318890,50,EB,3,R5.77,11.404,1,HOV,0.39,38.55945,-121.371371,48 ft,12.0 ft,8 ft,8 ft,10 ft,10 ft,70 mph,36 ft,Flat,Urbanized,Metal Beam Barrier,Concrete
318888,50,EB,3,R6.262,11.896,1,HOV,0.65,38.560406,-121.362358,48 ft,12.0 ft,8 ft,8 ft,10 ft,10 ft,70 mph,36 ft,Flat,Urbanized,Metal Beam Barrier,Concrete
318882,50,EB,3,R7.064,12.698,1,HOV,0.7,38.561957,-121.347672,48 ft,12.0 ft,8 ft,8 ft,10 ft,10 ft,70 mph,36 ft,Flat,Urbanized,Metal Beam Barrier,Concrete
319189,50,EB,3,R7.67,13.304,1,HOV,0.4,38.565229,-121.337466,48 ft,12.0 ft,8 ft,8 ft,10 ft,10 ft,70 mph,36 ft,Flat,Urbanized,Metal Beam Barrier,Concrete
318900,50,EB,3,R7.854,13.488,1,HOV,0.3,38.566642,-121.334583,48 ft,12.0 ft,8 ft,8 ft,10 ft,10 ft,70 mph,36 ft,Flat,Urbanized,Metal Beam Barrier,Concrete
318879,50,EB,3,R8.27,13.904,1,HOV,0.42,38.569846,-121.328043,48 ft,12.0 ft,8 ft,8 ft,10 ft,10 ft,70 mph,36 ft,Flat,Urbanized,Metal Beam Barrier,Concrete
318896,50,EB,3,R8.69,14.324,1,HOV,0.6,38.572887,-121.321301,48 ft,12.0 ft,8 ft,8 ft,10 ft,10 ft,70 mph,36 ft,Flat,Urbanized,Concrete Barrier w/Glare Screen,Concrete
318907,50,EB,3,R9.465,15.099,1,HOV,0.45,38.578113,-121.308579,48 ft,12.0 ft,8 ft,8 ft,10 ft,10 ft,70 mph,36 ft,Flat,Urbanized,Concrete Barrier w/Glare Screen,Concrete
318972,50,EB,3,R9.59,15.224,1,HOV,0.35,38.579164,-121.306707,48 ft,12.0 ft,8 ft,8 ft,10 ft,10 ft,70 mph,36 ft,Flat,Urbanized,Concrete Barrier w/Glare Screen,Concrete
318872,50,EB,3,R10.17,15.804,1,HOV,0.63,38.58427,-121.29827,48 ft,12.0 ft,8 ft,8 ft,10 ft,10 ft,70 mph,36 ft,Flat,Urbanized,Concrete Barrier w/Glare Screen,Concrete
318985,50,EB,3,R10.85,16.484,1,HOV,0.4,38.590266,-121.288385,48 ft,12.0 ft,8 ft,8 ft,10 ft,10 ft,70 mph,36 ft,Flat,Urbanized,Concrete Barrier w/Glare Screen,Concrete
319015,50,EB,3,R10.966,16.6,1,HOV,0.47,38.591295,-121.286687,48 ft,12.0 ft,8 ft,8 ft,10 ft,10 ft,70 mph,36 ft,Flat,Urbanized,Concrete Barrier w/Glare Screen,Concrete
318861,50,EB,3,R11.788,17.422,1,HOV,0.74,38.600283,-121.277138,48 ft,12.0 ft,8 ft,8 ft,10 ft,10 ft,70 mph,36 ft,Flat,Urbanized,Concrete Barrier w/Glare Screen,Concrete
315894,50,EB,3,12.4,18.07,1,HOV,0.42,38.60825,-121.271899,48 ft,12.0 ft,10 ft,10 ft,8 ft,8 ft,70 mph,32 ft,Flat,Urbanized,Concrete Barrier,"Base & Surface >= 7"" Thick"
315895,50,EB,3,12.6,18.27,1,HOV,0.55,38.609583,-121.268647,48 ft,12.0 ft,10 ft,10 ft,8 ft,8 ft,70 mph,32 ft,Flat,Urbanized,Concrete Barrier,"Base & Surface >= 7"" Thick"
315896,50,EB,3,R13.5,19.17,1,HOV,0.8,38.615211,-121.25363,48 ft,12.0 ft,10 ft,10 ft,8 ft,8 ft,70 mph,22 ft,Flat,Urbanized,Concrete Barrier,Bridge Deck
315897,50,EB,3,R14.2,19.87,1,HOV,0.76,38.619685,-121.242008,48 ft,12.0 ft,10 ft,10 ft,8 ft,8 ft,70 mph,22 ft,Flat,Urbanized,Concrete Barrier,"Base & Surface >= 7"" Thick"
315898,50,EB,3,R15.021,20.691,1,HOV,0.8,38.624844,-121.228324,48 ft,12.0 ft,4 ft,4 ft,8 ft,8 ft,70 mph,22 ft,Flat,Urbanized,Concrete Barrier,"Base & Surface >= 7"" Thick"
315899,50,EB,3,R15.805,21.475,1,HOV,0.53,38.631181,-121.216272,48 ft,12.0 ft,4 ft,4 ft,8 ft,8 ft,70 mph,22 ft,Flat,Urbanized,Concrete Barrier,"Base & Surface >= 7"" Thick"
316280,50,EB,3,16.084,21.754,1,HOV,0.55,38.633436,-121.21189,48 ft,12.0 ft,4 ft,4 ft,8 ft,8 ft,70 mph,22 ft,Flat,Urbanized,Concrete Barrier,"Base & Surface >= 7"" Thick"
318550,50,EB,3,16.901,22.571,1,HOV,1.11,38.639556,-121.198795,36 ft,12.0 ft,10 ft,10 ft,8 ft,8 ft,70 mph,22 ft,Flat,Urbanized,Concrete Barrier,"Base & Surface >= 7"" Thick"
316101,50,EB,3,18.3,23.97,1,HOV,1.21,38.642575,-121.173719,36 ft,12.0 ft,10 ft,10 ft,12 ft,12 ft,70 mph,22 ft,Rolling,Urbanized,Concrete Barrier,"Base & Surface >= 7"" Thick"
315900,50,EB,3,19.32,24.99,1,HOV,0.6,38.641845,-121.155264,36 ft,12.0 ft,10 ft,10 ft,12 ft,12 ft,70 mph,22 ft,Rolling,Urbanized,Three Beam Barrier,"Base & Surface >= 7"" Thick"
315901,50,EB,3,19.5,25.17,1,HOV,0.44,38.641705,-121.151909,36 ft,12.0 ft,10 ft,10 ft,12 ft,12 ft,70 mph,22 ft,Rolling,Urbanized,Three Beam Barrier,"Base & Surface >= 7"" Thick"
316977,50,EB,3,20.2,25.87,1,HOV,0.6,38.642046,-121.138849,36 ft,12.0 ft,10 ft,10 ft,12 ft,12 ft,70 mph,22 ft,Rolling,Urbanized,Three Beam Barrier,"Base & Surface >= 7"" Thick"
315902,50,EB,3,20.7,26.37,1,HOV,0.68,38.642474,-121.129528,36 ft,12.0 ft,10 ft,10 ft,12 ft,12 ft,70 mph,22 ft,Rolling,Urbanized,Three Beam Barrier,"Base & Surface >= 7"" Thick"
